ioi_sentences_input,ioi_sentences_labels,corr_ioi_sentences_input,corr_ioi_sentences_labels,ioi_sentences_labels_wrong,corr_ioi_sentences_labels_wrong
"Then, Diana and Lee had a lot of fun at the beach. Lee gave a coconut to",Diana,"Then, Felix and Martin had a lot of fun at the beach. Jane gave a coconut to",Valerie,Lee,Martin
The beach Leona and Martha went to had a banana. Martha gave it to,Leona,The beach Lesly and Porter went to had a banana. Devyn gave it to,Jill,Martha,Porter
Friends Yvette and Ginger found a plum at the cafe. Yvette gave it to,Ginger,Friends Noelia and Heather found a plum at the cafe. Emma gave it to,Seamus,Yvette,Noelia
"When Rosa and Kevin got a grape at the school, Kevin decided to give it to",Rosa,"When Myron and Andre got a grape at the school, Shannon decided to give it to",Arnold,Kevin,Andre
"Then, Richard and Sarah were working at the school. Richard decided to give a blackberry to",Sarah,"Then, Donald and Don were working at the school. Morgan decided to give a blackberry to",Eric,Richard,Donald
"When Jody and Amanda got a apple at the lake, Jody decided to give the apple to",Amanda,"When Baylee and Fidel got a apple at the lake, Kameron decided to give the apple to",Alexys,Jody,Baylee
"Afterwards, Kevin and Harriet went to the cave. Kevin gave a strawberry to",Harriet,"Afterwards, Kelly and Camden went to the cave. Carlo gave a strawberry to",Glenn,Kevin,Kelly
"After David and Estelle went to the theater, Estelle gave a grape to",David,"After Victoria and Melissa went to the theater, Kiara gave a grape to",Mitchell,Estelle,Melissa
"After Marsha and Mattie went to the store, Marsha gave a cherry to",Mattie,"After Callie and Lesly went to the store, Gunnar gave a cherry to",Kathy,Marsha,Callie
"While Loretta and Pauline were working at the mountain, Pauline gave a blueberry to",Loretta,"While Celeste and Thalia were working at the mountain, Darian gave a blueberry to",Cecelia,Pauline,Thalia
"When Ginger and Suzanne got a orange at the home, Suzanne decided to give the orange to",Ginger,"When Valerie and Alexis got a orange at the home, Janet decided to give the orange to",Alexander,Suzanne,Alexis
"Then, Rachel and Amanda were working at the bar. Rachel decided to give a papaya to",Amanda,"Then, Cole and Angela were working at the bar. Brook decided to give a papaya to",Francis,Rachel,Cole
"Afterwards, Marilyn and Ginger went to the market. Marilyn gave a cherry to",Ginger,"Afterwards, Moriah and Sage went to the market. Olivia gave a cherry to",Macy,Marilyn,Moriah
"Then, Lorraine and Kristi went to the lake. Kristi gave a blackberry to",Lorraine,"Then, Rodolfo and Joey went to the lake. Ruben gave a blackberry to",Rylan,Kristi,Joey
"Then, Mona and Ginger went to the beach. Mona gave a cantaloupe to",Ginger,"Then, Melinda and Leslie went to the beach. Katlyn gave a cantaloupe to",Reagan,Mona,Melinda
"Then, Martha and Lorraine were thinking about going to the shop. Martha wanted to give a honeydew to",Lorraine,"Then, Reese and Zakary were thinking about going to the shop. Dandre wanted to give a honeydew to",Isaac,Martha,Reese
"When Loretta and Eleanor got a orange at the shop, Eleanor decided to give the orange to",Loretta,"When Brennon and Jonas got a orange at the shop, Maiya decided to give the orange to",Parker,Eleanor,Jonas
"Then, Harriet and Suzanne went to the lake. Suzanne gave a raspberry to",Harriet,"Then, Andrea and Brice went to the lake. Glen gave a raspberry to",Cruz,Suzanne,Brice
"Then, Jody and Theresa were working at the shop. Jody decided to give a apple to",Theresa,"Then, Darien and Nina were working at the shop. Hadley decided to give a apple to",Margaret,Jody,Darien
"After Harriet and Geneva went to the museum, Geneva gave a pear to",Harriet,"After Kenny and Cassandra went to the museum, Leo gave a pear to",Santos,Geneva,Cassandra
"Then, Jacqueline and Ethel were thinking about going to the mountain. Ethel wanted to give a plum to",Jacqueline,"Then, Mollie and Reanna were thinking about going to the mountain. Isabelle wanted to give a plum to",Deion,Ethel,Reanna
"Then, Ginger and Fannie were thinking about going to the shop. Fannie wanted to give a grape to",Ginger,"Then, Ashley and Abdullah were thinking about going to the shop. Marley wanted to give a grape to",Tyrek,Fannie,Abdullah
"Then, Brian and Miriam were working at the bar. Miriam decided to give a kiwi to",Brian,"Then, Albert and Mayra were working at the bar. Alfred decided to give a kiwi to",Reagan,Miriam,Mayra
"Then, Marilyn and Charlene had a lot of fun at the beach. Marilyn gave a plum to",Charlene,"Then, Estevan and Sandra had a lot of fun at the beach. Iliana gave a plum to",Haylie,Marilyn,Estevan
The theater Susan and Kristi went to had a kiwi. Kristi gave it to,Susan,The theater Morgan and Quinn went to had a kiwi. Kaia gave it to,Theresa,Kristi,Quinn
The bar Janet and Agnes went to had a plum. Agnes gave it to,Janet,The bar Solomon and Kaila went to had a plum. Leonard gave it to,Lilian,Agnes,Kaila
"When Sophia and Evelyn got a cherry at the bar, Sophia decided to give it to",Evelyn,"When Lourdes and Elisha got a cherry at the bar, Caroline decided to give it to",Reginald,Sophia,Lourdes
"When Eleanor and Evelyn got a blackberry at the theater, Eleanor decided to give it to",Evelyn,"When Conor and Isabela got a blackberry at the theater, Kelsie decided to give it to",Jessie,Eleanor,Conor
