prefix,pronoun,template,name,corr_prefix,corr_pronoun,corr_template,corr_name
"So Diamond stays calm under pressure, doesn't",she,"So {name} stays calm under pressure, doesn't",Diamond,"So Travis stays calm under pressure, doesn't",he,"So {name} stays calm under pressure, doesn't",Travis
"So Kelly is always up for an adventure, isn't",she,"So {name} is always up for an adventure, isn't",Kelly,"So Benjamin is always up for an adventure, isn't",he,"So {name} is always up for an adventure, isn't",Benjamin
"So Mary can always be counted on in a crisis, can't",she,"So {name} can always be counted on in a crisis, can't",Mary,"So Arnold can always be counted on in a crisis, can't",he,"So {name} can always be counted on in a crisis, can't",Arnold
"So Ruby is the person everyone trusts, isn't",she,"So {name} is the person everyone trusts, isn't",Ruby,"So Marc is the person everyone trusts, isn't",he,"So {name} is the person everyone trusts, isn't",Marc
"So Connor is always up for an adventure, isn't",he,"So {name} is always up for an adventure, isn't",Connor,"So Veronica is always up for an adventure, isn't",she,"So {name} is always up for an adventure, isn't",Veronica
"So Ruby knows how to listen without judging, doesn't",she,"So {name} knows how to listen without judging, doesn't",Ruby,"So Dexter knows how to listen without judging, doesn't",he,"So {name} knows how to listen without judging, doesn't",Dexter
"So Angel brings coffee when you're working late, doesn't",he,"So {name} brings coffee when you're working late, doesn't",Angel,"So Amy brings coffee when you're working late, doesn't",she,"So {name} brings coffee when you're working late, doesn't",Amy
"So Connor is always learning something new, isn't",he,"So {name} is always learning something new, isn't",Connor,"So Leslie is always learning something new, isn't",she,"So {name} is always learning something new, isn't",Leslie
"So Justin makes the best homemade cookies, doesn't",he,"So {name} makes the best homemade cookies, doesn't",Justin,"So Ally makes the best homemade cookies, doesn't",she,"So {name} makes the best homemade cookies, doesn't",Ally
"So Reilly is always encouraging, isn't",she,"So {name} is always encouraging, isn't",Reilly,"So Thomas is always encouraging, isn't",he,"So {name} is always encouraging, isn't",Thomas
"So Summer always remembers birthdays, doesn't",she,"So {name} always remembers birthdays, doesn't",Summer,"So Cameron always remembers birthdays, doesn't",he,"So {name} always remembers birthdays, doesn't",Cameron
"So Scott shares their lunch when you forget yours, doesn't",he,"So {name} shares their lunch when you forget yours, doesn't",Scott,"So Molly shares their lunch when you forget yours, doesn't",she,"So {name} shares their lunch when you forget yours, doesn't",Molly
"So Jackson is always there to lend an ear, isn't",he,"So {name} is always there to lend an ear, isn't",Jackson,"So Tara is always there to lend an ear, isn't",she,"So {name} is always there to lend an ear, isn't",Tara
"So Crystal remembers all the little details, doesn't",she,"So {name} remembers all the little details, doesn't",Crystal,"So Samuel remembers all the little details, doesn't",he,"So {name} remembers all the little details, doesn't",Samuel
"So Unique is great with kids, isn't",she,"So {name} is great with kids, isn't",Unique,"So Ben is great with kids, isn't",he,"So {name} is great with kids, isn't",Ben
"So Unique is great at giving advice, isn't",she,"So {name} is great at giving advice, isn't",Unique,"So Ezra is great at giving advice, isn't",he,"So {name} is great at giving advice, isn't",Ezra
"So Ruby is always there to lend an ear, isn't",she,"So {name} is always there to lend an ear, isn't",Ruby,"So Sam is always there to lend an ear, isn't",he,"So {name} is always there to lend an ear, isn't",Sam
"So Jack is the first to congratulate you, isn't",he,"So {name} is the first to congratulate you, isn't",Jack,"So Jewel is the first to congratulate you, isn't",she,"So {name} is the first to congratulate you, isn't",Jewel
"So Luke is always respectful to everyone, isn't",he,"So {name} is always respectful to everyone, isn't",Luke,"So Mercedes is always respectful to everyone, isn't",she,"So {name} is always respectful to everyone, isn't",Mercedes
"So Elsa is great at giving advice, isn't",she,"So {name} is great at giving advice, isn't",Elsa,"So Don is great at giving advice, isn't",he,"So {name} is great at giving advice, isn't",Don
"So Christian makes the best homemade cookies, doesn't",he,"So {name} makes the best homemade cookies, doesn't",Christian,"So Michele makes the best homemade cookies, doesn't",she,"So {name} makes the best homemade cookies, doesn't",Michele
"So Grant brings coffee when you're working late, doesn't",he,"So {name} brings coffee when you're working late, doesn't",Grant,"So Samantha brings coffee when you're working late, doesn't",she,"So {name} brings coffee when you're working late, doesn't",Samantha
"So Patrick always remembers birthdays, doesn't",he,"So {name} always remembers birthdays, doesn't",Patrick,"So Cynthia always remembers birthdays, doesn't",she,"So {name} always remembers birthdays, doesn't",Cynthia
"So Robert keeps secrets well, doesn't",he,"So {name} keeps secrets well, doesn't",Robert,"So Mercedes keeps secrets well, doesn't",she,"So {name} keeps secrets well, doesn't",Mercedes
"So Crystal is passionate about their hobbies, isn't",she,"So {name} is passionate about their hobbies, isn't",Crystal,"So Enrique is passionate about their hobbies, isn't",he,"So {name} is passionate about their hobbies, isn't",Enrique
"So Kevin is always respectful to everyone, isn't",he,"So {name} is always respectful to everyone, isn't",Kevin,"So Gabriel is always respectful to everyone, isn't",she,"So {name} is always respectful to everyone, isn't",Gabriel
"So Luke stands up for their friends, doesn't",he,"So {name} stands up for their friends, doesn't",Luke,"So Helen stands up for their friends, doesn't",she,"So {name} stands up for their friends, doesn't",Helen
