ioi_sentences_input,ioi_sentences_labels,corr_ioi_sentences_input,corr_ioi_sentences_labels,ioi_sentences_labels_wrong,corr_ioi_sentences_labels_wrong
The school Faye and Brandy went to had a cherry. Faye gave it to,Brandy,The school Damien and Isaiah went to had a cherry. Regan gave it to,Nikita,Faye,Damien
"While Lula and Harriet were commuting to the store, Lula gave a honeydew to",Harriet,"While Kale and Chad were commuting to the store, Mateo gave a honeydew to",Simone,Lula,Kale
"When Martha and Stacy got a mango at the mountain, Martha decided to give the mango to",Stacy,"When Kenya and Renee got a mango at the mountain, Sasha decided to give the mango to",Enrique,Martha,Kenya
"After Velma and Jessie went to the home, Velma gave a cherry to",Jessie,"After Raina and Elissa went to the home, Valerie gave a cherry to",Marlene,Velma,Raina
"Then, Alyssa and Miriam were working at the cave. Miriam decided to give a cantaloupe to",Alyssa,"Then, Lauryn and Hailey were working at the cave. Esmeralda decided to give a cantaloupe to",Sebastian,Miriam,Hailey
"After the lunch, Doris and Faye went to the market. Faye gave a grape to",Doris,"After the lunch, Kiley and Marshall went to the market. Chance gave a grape to",Janae,Faye,Marshall
"When Richard and Susan got a blackberry at the school, Richard decided to give it to",Susan,"When Anthony and German got a blackberry at the school, Carson decided to give it to",Mark,Richard,Anthony
"While Erika and Theresa were working at the forest, Erika gave a peach to",Theresa,"While Iliana and Silvia were working at the forest, Blair gave a peach to",Albert,Erika,Iliana
"Afterwards, Martha and Charlene went to the school. Martha gave a plum to",Charlene,"Afterwards, Dawn and Ronnie went to the school. Ulysses gave a plum to",Claire,Martha,Dawn
"While Janet and Alice were commuting to the desert, Alice gave a cantaloupe to",Janet,"While Myah and Peter were commuting to the desert, Caroline gave a cantaloupe to",Judah,Alice,Peter
"After Rebecca and Carmen went to the home, Rebecca gave a coconut to",Carmen,"After Casey and Aiyana went to the home, Leon gave a coconut to",Rita,Rebecca,Casey
"Then, Erika and Evelyn had a lot of fun at the market. Erika gave a raspberry to",Evelyn,"Then, Nico and Dallin had a lot of fun at the market. Trystan gave a raspberry to",Colton,Erika,Nico
"Then, Marian and Marsha were working at the beach. Marsha decided to give a papaya to",Marian,"Then, Daisy and Logan were working at the beach. Gabrielle decided to give a papaya to",Lesley,Marsha,Logan
"Then, Alice and Theresa were working at the shop. Alice decided to give a banana to",Theresa,"Then, Mike and Carolyn were working at the shop. Eva decided to give a banana to",Reilly,Alice,Mike
