ioi_sentences_input,ioi_sentences_labels,corr_ioi_sentences_input,corr_ioi_sentences_labels,ioi_sentences_labels_wrong,corr_ioi_sentences_labels_wrong
"After the lunch, Eleanor and Wilma went to the zoo. Eleanor gave a blackberry to",Wilma,"After the lunch, Gerard and Timothy went to the zoo. Lisette gave a blackberry to",Javon,Eleanor,Gerard
"While Marilyn and Virginia were commuting to the museum, Marilyn gave a pineapple to",Virginia,"While Alfred and Ari were commuting to the museum, Kenneth gave a pineapple to",Damien,Marilyn,Alfred
"Then, Brandy and Kelly had a lot of fun at the theater. Kelly gave a orange to",Brandy,"Then, Sasha and Hunter had a lot of fun at the theater. Gwendolyn gave a orange to",Alexis,Kelly,Hunter
"When Carmen and Carol got a peach at the home, Carol decided to give it to",Carmen,"When Madeleine and Coleman got a peach at the home, Marcos decided to give it to",Andy,Carol,Coleman
"Then, Sheila and Fannie had a lot of fun at the park. Fannie gave a plum to",Sheila,"Then, Johan and Brett had a lot of fun at the park. Brendan gave a plum to",Aaron,Fannie,Brett
"After Doris and Marilyn went to the school, Marilyn gave a apple to",Doris,"After Phillip and Odalys went to the school, Jordy gave a apple to",Fernando,Marilyn,Odalys
"After the lunch, Virginia and Irma went to the zoo. Irma gave a papaya to",Virginia,"After the lunch, Prince and Melvin went to the zoo. Dwight gave a papaya to",Christy,Irma,Melvin
"Then, Lee and Harriet went to the gym. Lee gave a peach to",Harriet,"Then, Richard and Allan went to the gym. Charles gave a peach to",Elena,Lee,Richard
"Afterwards, Eleanor and Alyssa went to the school. Eleanor gave a cantaloupe to",Alyssa,"Afterwards, Anaya and Anastasia went to the school. Cora gave a cantaloupe to",Hugh,Eleanor,Anaya
"Then, Ella and Estelle were thinking about going to the bar. Estelle wanted to give a banana to",Ella,"Then, Kaleb and Donnie were thinking about going to the bar. Deasia wanted to give a banana to",Keely,Estelle,Donnie
"Then, Maggie and Evelyn went to the cafe. Maggie gave a raspberry to",Evelyn,"Then, Brittney and Katerina went to the cafe. Jewel gave a raspberry to",Korbin,Maggie,Brittney
"When Melanie and Geneva got a strawberry at the market, Geneva decided to give it to",Melanie,"When Clara and Ginger got a strawberry at the market, Solomon decided to give it to",Kathryn,Geneva,Ginger
"Then, Kristina and Yolanda had a lot of fun at the beach. Kristina gave a papaya to",Yolanda,"Then, Shannon and Makenzie had a lot of fun at the beach. Gabriel gave a papaya to",Kavon,Kristina,Shannon
"Then, Bernadette and Chelsea went to the park. Bernadette gave a banana to",Chelsea,"Then, Isabelle and Ruby went to the park. Daija gave a banana to",Amani,Bernadette,Isabelle
"While David and Carol were commuting to the gym, Carol gave a grape to",David,"While Stephen and Trystan were commuting to the gym, Leon gave a grape to",Glen,Carol,Trystan
"Then, Jessica and Alicia were thinking about going to the market. Jessica wanted to give a kiwi to",Alicia,"Then, Mary and Sophia were thinking about going to the market. Emily wanted to give a kiwi to",Charlie,Jessica,Mary
"Then, Shannon and Brandy had a lot of fun at the museum. Shannon gave a raspberry to",Brandy,"Then, Devin and Itzel had a lot of fun at the museum. Peter gave a raspberry to",Emilee,Shannon,Devin
