ioi_sentences_input,ioi_sentences_labels,corr_ioi_sentences_input,corr_ioi_sentences_labels,ioi_sentences_labels_wrong,corr_ioi_sentences_labels_wrong
"Then, Juana and Leigh were working at the store. Leigh decided to give a pear to",Juana,"Then, Walter and Elvis were working at the store. Dalton decided to give a pear to",Yolanda,Leigh,Elvis
"When Kari and Carmen got a cantaloupe at the cafe, Kari decided to give it to",Carmen,"When Nigel and Davonte got a cantaloupe at the cafe, Maegan decided to give it to",Alize,Kari,Nigel
"After Pauline and Rosemarie went to the beach, Pauline gave a plum to",Rosemarie,"After Isis and Brayden went to the beach, Alaina gave a plum to",Annabelle,Pauline,Isis
"When Faye and Mildred got a orange at the river, Faye decided to give the orange to",Mildred,"When Gabriel and Guillermo got a orange at the river, Louis decided to give the orange to",Leanna,Faye,Gabriel
"Afterwards, Kari and Wilma went to the school. Kari gave a apple to",Wilma,"Afterwards, Brady and Sonya went to the school. Chanel gave a apple to",Rigoberto,Kari,Brady
"Then, Harriet and Jody had a lot of fun at the theater. Jody gave a pineapple to",Harriet,"Then, Martha and Sincere had a lot of fun at the theater. Tamia gave a pineapple to",Avery,Jody,Sincere
"When Leigh and Jerry got a grape at the zoo, Leigh decided to give it to",Jerry,"When Bonnie and Richard got a grape at the zoo, Marshall decided to give it to",Axel,Leigh,Bonnie
The market Maggie and Susan went to had a plum. Maggie gave it to,Susan,The market Romeo and Alex went to had a plum. Solomon gave it to,Gilbert,Maggie,Romeo
"While Faye and Alicia were working at the zoo, Faye gave a coconut to",Alicia,"While Julissa and Rashad were working at the zoo, Anika gave a coconut to",Zoe,Faye,Julissa
"After the lunch, Stella and Inez went to the beach. Inez gave a apple to",Stella,"After the lunch, Jada and Lourdes went to the beach. Ryder gave a apple to",Shakira,Inez,Lourdes
"When Grace and Dianne got a kiwi at the cave, Grace decided to give it to",Dianne,"When Tyson and Cindy got a kiwi at the cave, Colin decided to give it to",Alonso,Grace,Tyson
"Then, Mark and Mona went to the gym. Mona gave a peach to",Mark,"Then, Jessica and Fredrick went to the gym. Chaim gave a peach to",Brett,Mona,Fredrick
"Afterwards, Sonia and Evelyn went to the cafe. Sonia gave a pineapple to",Evelyn,"Afterwards, Remington and Estevan went to the cafe. Carlee gave a pineapple to",Ulises,Sonia,Remington
"When Estelle and Sheila got a plum at the river, Estelle decided to give it to",Sheila,"When Kacey and Brandy got a plum at the river, Amina decided to give it to",Conner,Estelle,Kacey
